timestamp,moisture,ph,ec,temp,n,p,k
2026-03-30T23:18:52.589532,31.6,8.48,0.689,38.5,68.2,186.2,195.1
2026-03-30T23:18:54.589566,64.4,7.95,1.865,33.0,77.9,142.1,186.3
2026-03-30T23:18:56.593415,30.4,5.88,0.724,22.6,19.1,109.0,132.0
2026-03-30T23:18:58.589285,77.3,7.2,2.194,35.8,63.2,16.3,69.4
2026-03-30T23:19:00.589114,2.4,6.95,4.114,24.9,93.0,19.0,138.5
2026-03-30T23:19:02.589864,44.9,7.03,3.682,14.2,118.5,109.1,84.9
2026-03-30T23:19:04.589094,95.3,5.75,4.481,19.3,37.1,75.9,173.8
2026-03-30T23:19:06.589071,71.4,8.44,1.639,37.7,15.3,71.3,174.2
2026-03-30T23:19:08.589164,85.7,7.71,2.052,29.9,10.6,169.5,170.2
2026-03-30T23:19:10.589153,80.2,7.46,3.616,22.8,141.7,170.3,59.2
